key,avg_returns,SD,sharpe
CTXS,0.014532418742339117,0.07545040642989938,0.18174082011180764
VAR,0.014475124345339551,0.07388440731124679,0.18481740386460335
APD,0.014400722799627754,0.05793830952617682,0.23439970739035657
CHD,0.014309143020553935,0.05583157044162873,0.24160421986798097
ETFC,0.014219468351757247,0.08522999879456891,0.15721539999143
CCI,0.014187689465217881,0.04718508594356836,0.2833032768278763
NSC,0.01418501824521272,0.07737065029772683,0.17274015655527442
VMC,0.014162188689194655,0.06536772148433559,0.20410974080520636
EBAY,0.014143555140510203,0.08952574473428741,0.14882372863866747
RSG,0.014119039341625722,0.04056711814941326,0.3278280525780477
IEX,0.014111450846376944,0.05875532879646536,0.22621694267799825
ITW,0.014094829920430645,0.05745415357532742,0.23105083086858433
ORLY,0.014008159456619186,0.06856966007803071,0.19233228576036926
SBUX,0.013994045615534014,0.05903326867768044,0.22316307246112083
DOV,0.013923429609200318,0.07461775430036724,0.1756073970874761
CE,0.013874115388940865,0.07760308170337019,0.16821645613042638
WM,0.013786601872911322,0.046766903796902036,0.2772602165245385
FAST,0.013663402193142143,0.07652569957150525,0.16783122879054937
DRE,0.013599176316334989,0.05312962277355954,0.24052827122075235
ICE,0.013574376739427787,0.05255381097958956,0.2426917572996035
SYK,0.013428921622926908,0.05311710397486374,0.23737968901493098
BF-B,0.013401232962396618,0.05569024934959211,0.2259144663443452
CLX,0.013385815871930598,0.05333697559890545,0.2355929583714242
CAT,0.01337828542737649,0.07536971401581741,0.16662243702743726
WEC,0.013357351041544162,0.0472919110292663,0.2651056125388019
APH,0.013352690063914714,0.06149870835059693,0.20378785831512616
XEL,0.013338762276854337,0.045477774018913356,0.27527209822644394
CMG,0.013258123873319068,0.1052019722726223,0.11823090009269682
DGX,0.013227858398068282,0.07649821850560194,0.16219800461313563
ALB,0.013172777299237104,0.10302167522268542,0.11990464407161006
LLY,0.012895216671048156,0.0577088043978133,0.20924392381807358
NOC,0.012828824797478345,0.0598641884532244,0.20060114582295865
VRTX,0.012797611178235602,0.09651919686081177,0.12409563659660632
SWK,0.012666898184286526,0.07696183975850847,0.153932107411411
ADP,0.012634876937938317,0.05541920505109182,0.213191021542911
CME,0.012620376773190806,0.05608206597844947,0.21041266164704614
BAX,0.012594266596443497,0.06101975855368789,0.19295826262707966
PAYX,0.012570817482262835,0.056417383863253234,0.20828362957674443
FIS,0.012548124851101492,0.05370351747161082,0.2183865304037358
LMT,0.012490514695166856,0.05875119037863903,0.19864303378285358
MU,0.012452699684153407,0.11971931044383922,0.0971664440851449
HRL,0.012452422366892589,0.05931354607785032,0.1961174661792229
EXPD,0.012369355929186346,0.054321654449105056,0.21261053342930025
AOS,0.012361497042453186,0.07060337493021207,0.16346948079835252
ULTA,0.01230429432220993,0.10182272989765573,0.1127871383310293
AIZ,0.0122933227114496,0.06159783030462448,0.18626179939633744
WAT,0.012169279875101701,0.070132682300871,0.1618258350138813
CMS,0.012125645796669122,0.04646193518093824,0.24333135829666103
YUM,0.012115987721026265,0.06705983268566315,0.16844640477967157
ILMN,0.012101002761819279,0.10554965854017186,0.10687862867434826
LYV,0.012068898768116627,0.07899916479016626,0.1423926290612743
AON,0.012024599665513768,0.05565331723605836,0.20132851412950803
PH,0.011948486700421616,0.08197872271854852,0.13574847632876919
COO,0.011844859646397051,0.06538271308238651,0.16862040632215744
AEE,0.011787344865222014,0.04375750477772147,0.25063917426127746
BLK,0.011746483306017472,0.065764306882801,0.16614610301435445
LEN,0.011707379526281498,0.09612224318587763,0.11326597429928771
ARE,0.011683807651329358,0.053968003872885494,0.20130089815657481
LH,0.0116535177726111,0.07513445866290913,0.14418840523248722
MMC,0.011552542416407836,0.05100879161697633,0.2104057374461684
AFL,0.011545232561258617,0.13825125125102916,0.07757783357623518
TSCO,0.011540494458511132,0.07744122791663215,0.1384339420605788
AME,0.011530067990192691,0.06297012355162418,0.17008173695915274
EFX,0.011515000878770113,0.07634669882741915,0.14008465386232405
ROST,0.01133658895975638,0.06456960469042704,0.16287212861496037
WRB,0.011269574540368945,0.050449360719575696,0.20712996936578093
HAS,0.011044653575688249,0.07751566217902194,0.13190435698110242
LNT,0.011027990057234361,0.04711346306304841,0.2166682173962414
JPM,0.011024217160549698,0.06645606975756964,0.15354830939859174
AES,0.010962390700201963,0.0742019768182404,0.13668626005808449
PKG,0.010943578200788786,0.07671125709908495,0.13196991658880722
MAA,0.010900334119376295,0.055349321884411634,0.1821220888745031
HON,0.010889024230930452,0.05022108128054834,0.20049397532247865
LIN,0.01088650923534547,0.05283543394822541,0.19052572266577505
CMI,0.010853802575973246,0.06918649329295729,0.14502545364580025
AZO,0.01079337805995831,0.06656033620317048,0.1498396587047775
ES,0.01074628691397391,0.046231903403733655,0.2147064296118137
STZ,0.010711156493531123,0.06694852186624767,0.14774271660981636
RF,0.010704520825479808,0.09746218239585266,0.1014190384669698
ECL,0.010565756953263674,0.05554147032852007,0.17546811230633394
